"","time","N","Uninfected","I","Species","prop_inf","Lower_CI","Upper_CI"
"1",0,2856,2856,0,"C",0,0,0.00129079067087108
"2",1,2254,2249,5,"C",0.00221827861579414,0.000720649087224935,0.00516906851265625
"3",2,1826,1815,11,"C",0.00602409638554217,0.00301092889410734,0.0107531526117646
"4",3,1357,1340,17,"C",0.0125276344878408,0.00731428160904336,0.0199824027480089
"5",4,1141,1119,22,"C",0.0192813321647677,0.012121975777978,0.0290473275588375
"6",5,887,863,24,"C",0.0270574971815107,0.0174114906740336,0.0399931220430566
"7",6,717,691,26,"C",0.0362622036262204,0.0238218646759488,0.0526829905673828
"8",7,581,555,26,"C",0.044750430292599,0.0294374794451978,0.0648846201294582
"9",8,464,441,23,"C",0.0495689655172414,0.0316784224867348,0.0734518862385352
"10",9,366,344,22,"C",0.0601092896174863,0.0380498757852941,0.0895945554893613
"11",10,294,272,22,"C",0.0748299319727891,0.0474873422071726,0.111103376392336
"12",11,230,212,18,"C",0.0782608695652174,0.0470405318632236,0.120866734346421
"13",12,179,162,17,"C",0.0949720670391061,0.0563027814779292,0.14770305111091
"14",13,143,128,15,"C",0.104895104895105,0.0599087610481659,0.167102496385406
"15",14,124,111,13,"C",0.104838709677419,0.0570148550799788,0.17260401982951
"16",15,94,83,11,"C",0.117021276595745,0.0598870959879413,0.199743191796606
